code_script,iso_639_3,iso_639_2,Lang
bhw_Latn,bhw,bhw,Biak
bhz_Latn,bhz,bhz,Bada (Indonesia)
bib_Latn,bib,bib,Bissa
big_Latn,big,big,Biangai
bim_Latn,bim,bim,Bimoba
bin_Latn,bin,bin,Bini
bis_Latn,bis,bi,Bislama
biu_Latn,biu,biu,Biete
biv_Latn,biv,biv,Southern Birifor
bjn_Arab,bjn,bjn,Banjar
bjn_Latn,bjn,bjn,Banjar
bjp_Latn,bjp,bjp,Fanamaket
bjr_Latn,bjr,bjr,Binumarien
bjv_Latn,bjv,bjv,Bedjond
bkd_Latn,bkd,bkd,Binukid
bkl_Latn,bkl,bkl,Berik
bkq_Latn,bkq,bkq,Bakairí
bku_Latn,bku,bku,Buhid
bkv_Latn,bkv,bkv,Bekwarra
bla_Latn,bla,bla,Siksika
blh_Latn,blh,blh,Kuwaa
blk_Mymr,blk,blk,Pa'o Karen
blt_Latn,blt,blt,Tai Dam
blw_Latn,blw,blw,Balangao
blz_Latn,blz,blz,Balantak
bmh_Latn,bmh,bmh,Kein
bmk_Latn,bmk,bmk,Ghayavi
bmq_Latn,bmq,bmq,Bomu
bmr_Latn,bmr,bmr,Muinane
bmu_Latn,bmu,bmu,Somba-Siawari
bmv_Latn,bmv,bmv,Bum
bnj_Latn,bnj,bnj,Eastern Tawbuid
bno_Latn,bno,bno,Bantoanon
bnp_Latn,bnp,bnp,Bola
boa_Latn,boa,boa,Bora
bod_Tibt,bod,bo,Tibetan
boj_Latn,boj,boj,Anjam
bom_Latn,bom,bom,Berom
bon_Latn,bon,bon,Bine
bor_Latn,bor,bor,Borôro
bos_Latn,bos,bs,Bosnian
bov_Latn,bov,bov,Tuwuli
box_Latn,box,box,Buamu
bpr_Latn,bpr,bpr,Koronadal Blaan
bps_Latn,bps,bps,Sarangani Blaan
bpy_Beng,bpy,bpy,Bishnupriya
bqc_Latn,bqc,bqc,Boko (Benin)
bqj_Latn,bqj,bqj,Bandial
bqp_Latn,bqp,bqp,Busa
bre_Latn,bre,br,Breton
brh_Arab,brh,brh,Brahui
bru_Latn,bru,bru,Eastern Bru
brx_Deva,brx,brx,Bodo (India)
brx_Latn,brx,brx,Bodo (India)
bsc_Latn,bsc,bsc,Bassari
bsn_Latn,bsn,bsn,Barasana-Eduria
bsp_Latn,bsp,bsp,Baga Sitemu
bsq_Latn,bsq,bsq,Bassa
bss_Latn,bss,bss,Akoose
