lang_name	keep_rows
bts_Latn	2660
nyu_Latn	2592
ckt_Latn	2632
guw_Latn	2644
pck_Latn	2636
quy_Latn	2655
gcf_Latn	2557
ksw_Mymr	2571
nia_Latn	2543
bal_Arab	2562
nhe_Latn	2489
hwc_Latn	2352
mup_Deva	2324
dyu_Latn	2494
ami_Latn	2336
tay_Latn	2369
gaa_Latn	2346
loz_Latn	2463
abq_Cyrl	2227
pnt_Grek	2237
snd_Latn	2242
ium_Latn	2227
abs_Latn	2008
cmr_Latn	2181
shi_Latn	2183
tzm_Tfng	2160
gil_Latn	2224
ewo_Latn	1876
kon_Latn	2055
sms_Latn	2118
ape_Latn	2012
tzh_Latn	2013
bci_Latn	1980
acd_Latn	1987
tab_Cyrl	2027
fuv_Latn	1979
swc_Latn	1863
tcz_Latn	2051
und_Elym	1662
sgc_Latn	1812
aaz_Latn	1982
tly_Arab	1858
tvl_Latn	1910
zha_Latn	1795
pib_Latn	1740
pli_Deva	1893
bru_Latn	1768
quz_Latn	1790
cha_Latn	1774
aeu_Latn	1761
bjn_Arab	1688
nqo_Nkoo	1736
mer_Latn	1684
acf_Latn	1576
rmc_Latn	1723
msi_Latn	1657
smj_Latn	1701
kng_Latn	1726
dhv_Latn	1589
doi_Deva	1603
zap_Latn	1634
hla_Latn	1674
cac_Latn	1584
pdt_Latn	1542
mbt_Latn	1604
taq_Latn	1557
bgp_Latn	1516
tyz_Latn	1509
aau_Latn	1593
mah_Latn	1378
nak_Latn	1558
kmb_Latn	1495
mjw_Latn	1544
fuf_Latn	1553
bba_Latn	1509
ron_Cyrl	1447
amu_Latn	1430
alz_Latn	1293
cop_Copt	1430
rar_Latn	1374
emp_Latn	1394
arc_Syrc	1338
nyn_Latn	1343
rut_Cyrl	1172
lub_Latn	1336
tzj_Latn	1322
fat_Latn	1250
lzh_Hani	1279
aak_Latn	1247
nnb_Latn	1253
lhu_Latn	1205
bjv_Latn	1179
bum_Latn	1162
maq_Latn	1189
roa_Latn	1115
bvr_Latn	1171
kcg_Latn	1136
tok_Latn	1143
yrk_Cyrl	1103
khs_Latn	1143
rup_Latn	1080
tuk_Cyrl	1098
qub_Latn	1098
jac_Latn	1089
hmr_Latn	1107
sid_Latn	1076
chr_Cher	1084
amp_Latn	1084
qug_Latn	1067
mas_Latn	1016
fkv_Latn	1073
mal_Latn	978
bem_Latn	1038
cav_Latn	1074
her_Latn	1044
kwn_Latn	1030
ify_Latn	991
asm_Latn	949
gpe_Latn	998
zpa_Latn	942
agu_Latn	969
ppk_Latn	955
tiv_Latn	972
npi_Latn	918
ahk_Latn	938
pis_Latn	932
hns_Latn	892
sus_Latn	939
hak_Hani	861
bon_Latn	963
sja_Latn	906
kas_Deva	896
mar_Latn	884
kri_Latn	872
dik_Latn	876
wrk_Latn	895
got_Goth	892
dar_Cyrl	826
gui_Latn	868
mak_Latn	866
jiv_Latn	876
kjb_Latn	840
maz_Latn	834
bsn_Latn	858
dov_Latn	846
cok_Latn	868
rwo_Latn	796
mag_Deva	794
hnj_Latn	848
krj_Latn	828
teo_Latn	844
enq_Latn	735
aom_Latn	819
ffm_Latn	807
din_Latn	809
ubu_Latn	735
pwn_Latn	741
gum_Latn	778
sny_Latn	782
twu_Latn	765
med_Latn	774
acn_Latn	743
rme_Latn	703
cbs_Latn	736
abx_Latn	721
ndc_Latn	702
ibb_Latn	732
pih_Latn	674
zty_Latn	711
rad_Latn	691
aby_Latn	707
zne_Latn	647
cui_Latn	700
lua_Latn	699
yby_Latn	693
bno_Latn	670
niu_Latn	649
agd_Latn	685
nij_Latn	677
agg_Latn	689
yre_Latn	670
fip_Latn	664
qve_Latn	657
tsg_Latn	667
skg_Latn	634
adj_Latn	664
mfq_Latn	659
agx_Cyrl	663
kmg_Latn	606
umb_Latn	660
cnk_Latn	663
nhw_Latn	654
maa_Latn	633
kwy_Latn	643
jra_Latn	618
syr_Syrc	582
inb_Latn	612
pau_Latn	611
xsm_Latn	619
vap_Latn	614
alp_Latn	601
des_Latn	595
syl_Latn	524
kmr_Cyrl	585
mkn_Latn	563
gan_Hani	562
qwh_Latn	569
jvn_Latn	561
bib_Latn	535
ckt_Cyrl	506
mpx_Latn	537
bin_Latn	546
klv_Latn	554
xon_Latn	551
jbu_Latn	551
bdh_Latn	531
knj_Latn	528
ptu_Latn	542
mmn_Latn	537
mwq_Latn	522
sop_Latn	516
cgc_Latn	511
rmy_Cyrl	519
dop_Latn	522
mgr_Latn	535
rmo_Latn	468
tbc_Latn	512
kyq_Latn	489
zpu_Latn	507
kkc_Latn	518
acu_Latn	513
ata_Latn	506
gag_Cyrl	481
kan_Latn	476
mif_Latn	493
sus_Arab	465
tsz_Latn	471
mbi_Latn	478
imo_Latn	500
fuh_Latn	453
zyp_Latn	488
apr_Latn	490
att_Latn	475
bus_Latn	463
kqp_Latn	474
koo_Latn	472
bas_Latn	464
urh_Latn	471
bbr_Latn	469
msy_Latn	464
mdy_Ethi	459
nas_Latn	449
lee_Latn	461
mcu_Latn	453
mrj_Latn	441
dig_Latn	455
izr_Latn	446
nfr_Latn	449
hto_Latn	442
mzw_Latn	438
qxh_Latn	438
chz_Latn	430
guh_Latn	421
ded_Latn	439
bvz_Latn	443
kkj_Latn	425
gux_Latn	430
ikt_Latn	439
bnp_Latn	429
bgt_Latn	434
quf_Latn	434
dwr_Latn	420
nod_Thai	421
yal_Latn	428
bmr_Latn	424
ljp_Latn	422
xla_Latn	424
zyb_Latn	424
gof_Latn	427
niv_Cyrl	348
nrf_Latn	418
npy_Latn	426
ura_Latn	395
dob_Latn	410
gfk_Latn	413
gdr_Latn	408
sdc_Latn	375
pjt_Latn	393
spp_Latn	389
irk_Latn	394
cpa_Latn	376
knc_Latn	383
gvl_Latn	385
agr_Latn	393
njo_Latn	400
xrb_Latn	402
kao_Latn	400
zpz_Latn	374
bgr_Latn	391
rnd_Latn	377
ntu_Latn	382
aai_Latn	392
gai_Latn	396
dgi_Latn	384
kez_Latn	392
dad_Latn	379
kmh_Latn	381
aii_Syrc	390
ifk_Latn	383
aji_Latn	375
noa_Latn	368
bhl_Latn	377
ztq_Latn	393
rmn_Cyrl	360
gde_Latn	387
dnj_Latn	378
men_Latn	380
miq_Latn	371
mdf_Latn	358
isd_Latn	368
lgg_Latn	372
ncx_Latn	347
gub_Latn	351
itv_Latn	376
tac_Latn	368
cce_Latn	373
kwi_Latn	363
nhu_Latn	344
snd_Deva	361
sml_Latn	348
pah_Latn	363
sas_Latn	331
cwt_Latn	350
spy_Latn	355
enb_Latn	346
fai_Latn	365
