English_Name;Native_Name;Glottocode;near_ISO6393;639-3;639-2_B;639-2_T;639-1;Scope;Language_Type;#L1_Speakers
Northern Tōhoku;0;nort2934;jpn;0;0;0;0;0;0;Unknow
Southern Tōhoku;0;sout2953;jpn;0;0;0;0;0;0;Unknow
Akita;0;akit1240;jpn;0;0;0;0;0;0;Unknow
Morioka;0;mori1272;jpn;0;0;0;0;0;0;Unknow
Nambu (Japanese);0;namb1295;jpn;0;0;0;0;0;0;Unknow
Shimokita;0;shim1253;jpn;0;0;0;0;0;0;Unknow
Shōnai;0;shon1252;jpn;0;0;0;0;0;0;Unknow
Tsugaru;0;tsug1237;jpn;0;0;0;0;0;0;Unknow
Aizu;0;aizu1241;jpn;0;0;0;0;0;0;Unknow
Fukushima;0;fuku1243;jpn;0;0;0;0;0;0;Unknow
Kesen;0;kese1237;jpn;0;0;0;0;0;0;Unknow
Mogami;0;moga1249;jpn;0;0;0;0;0;0;Unknow
Sendai;0;send1240;jpn;0;0;0;0;0;0;Unknow
Yamagata;0;yama1262;jpn;0;0;0;0;0;0;Unknow
Yonezawa;0;yone1237;jpn;0;0;0;0;0;0;Unknow
Echigo;0;echi1237;jpn;0;0;0;0;0;0;Unknow
Gifu-Aichi;0;gifu1238;jpn;0;0;0;0;0;0;Unknow
Nagano-Yamanashi-Shizuoka;0;naga1407;jpn;0;0;0;0;0;0;Unknow
Jōetsu;0;joet1237;jpn;0;0;0;0;0;0;Unknow
Nagaoka;0;naga1406;jpn;0;0;0;0;0;0;Unknow
Niigata;0;niig1237;jpn;0;0;0;0;0;0;Unknow
Uonuma;0;uonu1237;jpn;0;0;0;0;0;0;Unknow
Hida;0;hida1245;jpn;0;0;0;0;0;0;Unknow
Mikawa;0;mika1255;jpn;0;0;0;0;0;0;Unknow
Mino;0;mino1244;jpn;0;0;0;0;0;0;Unknow
Owari;0;owar1237;jpn;0;0;0;0;0;0;Unknow
Eastern Mikawa;0;east2528;0;0;0;0;0;0;0;Unknow
Western Mikawa;0;west2609;0;0;0;0;0;0;0;Unknow
